;;;;;;;;;;;;;;;
LABORATUVAR SARF MALZEMELERİ — ÜRÜN GİRİŞ ŞABLONU;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
NO;ÜRÜN KİMLİĞİ;;;;TEKNİK ÖZELLİKLER;;;;;PAKETLEME;;TEDARİKÇİ;WEB / NOTLAR;;
73;Cary 60 için sertifikalı nötr yoğunluk cam filtreler;Certified neutral density glass filters for Cary 60;Артикул: 218006500;Agilent;Genel Sarf;UV-Vis spectrophotometer filter;1 упак/ pack;"Certified neutral density glass filters for Agilent Cary 60 UV-Vis spectrophotometer; Art. 218006500";Neutral density screen, tested, 1/pk;Pack;1;Agilent Technologies;https://www.agilent.com/store/productDetail.jsp?catalogId=218006500;;
74;GC Headspace için deaktivasyonlu FS kolon, 0,53 mm;Deactivated FS column for GC Headspace, 0.53mm;Part Number:160-2535-5;Agilent;Genel Sarf;GC column;4 упак/ pack;"Deactivated fused silica (FS) transfer line/column for GC headspace; 0.53 mm ID; Part 160-2535-5";"Fused silica tubing, deactivated, 5 m, 0.53 mm, 0.67 mm od

Length: 5 m
Capillary Tubing: Fused Silica
Inner Diameter (ID): 0.53 mm
Product_Sub_Model: 0.53 mm x 5 m
Outer Diameter (OD): 0.67 mm";Pack;1;Agilent Technologies;https://www.agilent.com/store/en_US/Prod-160-2535-5/160-2535-5;;
75;Agilent Headspace örnekleyici için ferrüller, 0,53 mm;Ferrules for Agilent Headspace sampler, 0.53 mm;0100-2595;Agilent;Genel Sarf;GC ferrule;10 упак/ pack;"Graphite/vespel ferrules for Agilent headspace sampler; 0.53 mm; 5/pack; Art. 0100-2595";"Ferrule, polyamide, graphite 1/32 inch, 5/pk
Material(s)ofConstruction: Graphite";Pack;5;Agilent Technologies;https://www.agilent.com/store/en_US/Prod-0100-2595/0100-2595;;
76;Headspace örnekleyici için ferrüller, 0,53 mm;Ferrules for Headspace sampler, 0.53 mm;Part № 8002-0217;ELGA VEOLIA;Genel Sarf;GC ferrule;10 pack;"Ferrules for GC headspace sampler; 0.53 mm; Art. 8002-0217; 10 pcs/pack";"Agilent ferrule for Thermo, 0.8 mm, graphite, 0.53 mm id or smaller columns, 10/pk

Technique: GC
GC Component Type: Ferrule
Inner Diameter (ID): 0.8 mm
Compatible Column ID: 0.53 mm
Ferrule Material: Graphite
Ferrule Type: Straight
Maximum Temperature: 350 C";Pack;10;ELGA LabWater (Veolia);https://www.scientificlabs.co.uk/product/chromatography-accessories/8002-0217;;
77;Elga deiyonizatör için kartuş (LC-140);Cartridge (LC-140) for Elga Deionizer;TR-LC140 Preteatment purelab    Medica &Option7/15;ELGA VEOLIA;Su Arıtma;Water purifier pre-treatment cartridge;3 pack;"LC-140 pre-treatment cartridge for ELGA Medica/Option-R deionizer; removes chlorine and organics; lifespan ~6 months";"Item Consumable Microns 5 µm
Feed Water Source Tap Water Product Type Pre-Treatment Cartridge
Impurities Removed Chlorine, Particles Removes Chlorine, Particles, Organic Compounds
Material Activated Carbon Service Life 6 Months";Cartridge;1;ELGA LabWater (Veolia);https://www.elgalabwater.com/sites/default/files/Consumables%20Datasheets/Option%20R.pdf;Replace every 6 months;
78;Purelab deiyonizatör için kartuş (LC-214);Cartridge (LC-214) for Purelab Deionizer;LC-214 ELGA 2-06620;ELGA VEOLIA;Su Arıtma;Water purifier DI cartridge;3 pack;"LC-214 mixed-bed DI purification cartridge for PURELAB flex/Deionizer; lifespan ~6 months";"Item Consumable
Feed Water Source Tap Water
Impurities Removed lons

Material Mixed Bed Resin
Product Type Di Cartridge";Cartridge;1;ELGA LabWater (Veolia);https://www.elgalabwater.com/sites/default/files/Consumables%20Datasheets/Flex_3.pdf;Replace every 6 months;
79;Purelab için UV lamba 185/254 nm (LC-210-02);UV lamp 185/254nm (LC-210-02) for Purelab;UV lamp 185/254nm LC-210-02;ELGA VEOLIA;Su Arıtma;UV lamp for water purifier;3 pack;"UV lamp 185/254 nm (LC-210-02) for PURELAB system; destroys organics and microorganisms; lifespan 12–18 months";"Item	UV Lamp";Lamp;1;ELGA LabWater (Veolia);https://www.elgalabwater.com/sites/default/files/Consumables%20Datasheets/Flex_4.pdf;Replace every 12–18 months;
80;Purelab için kompozit hava filtresi (LC 136 M2);Composite air filter (LC 136 M2) for Purelab;LC 136 M2  REF: INST36651;ELGA VEOLIA;Su Arıtma;Composite air vent filter;3 pack;"LC 136 M2 composite vent filter for PURELAB system; prevents recontamination; REF INST36651; lifespan 12 months";"Item Consumable
Compatible Mfr. Model No. Air
Microns
Product Details
0.2 um
Product Type Consumable
Removes Disolved Gases";Filter;1;ELGA LabWater (Veolia);https://www.elgalabwater.com/medica-7-15;Replace every 12 months;
81;Purelab için DI kartuş paketi (LC-141);DI Cartridge pack (LC-141) for Purelab;TR-LC141 PURELAB & Medica DI Pack;ELGA VEOLIA;Su Arıtma;Water purifier DI cartridge pack;3 упак/ pack;"LC-141 DI cartridge pack for PURELAB Medica/Option systems; twin-bed ion exchange; lifespan ~6 months";"Item Consumable
Feed Water Source Tap Water
Impurities Removed lons
Material Mixed Bed Resin
Product Type Di Cartridge";Cartridge;1;ELGA LabWater (Veolia);https://www.elgalabwater.com/sites/default/files/Consumables%20Datasheets/Option%20R.pdf;Replace every 6 months;
82;Nerbe Plus santrifüj tüpleri, 15 ml, 500 adet;;SKU 02-502-8001;Nerbe Plus, Germany;Genel Sarf;Centrifuge tube;10 упак/ pack;;"Centrifuge tube PP with screw cap PE, 15ml, Ø17x120mm, con. bottom, tube transp., cap
green, grad., writ. area, np pcr ready, sterile , max. RCF 17.000g, Autocl. up to 121°C (no
cap), CE/IVD

Material Characteristics tube: polypropylene (PP)
cap: polyethylene (PE)

Dimensions diameter: 17,00 mm (+/- 0,2 mm)
height: 120,00 mm (+/- 0,2 mm)";Pack;500;Nerbe Plus, Germany;;;
83;İmmünokromatografik test şeritleri (COC, mAMP, BZO);Immunochromatographic test strips (COC, mAMP, BZO);Артикул: 00065752;T&D Innovationen GmbH;Biyokimya;Immunochromatographic drug test strips;100 упак/ pack;;;Pack;100 tests;T&D Innovationen GmbH;;;
84;İmmünokromatografik test şeritleri (BAR, MDMA, MTD);Immunochromatographic test strips (BAR, MDMA, MTD);Артикул: 96694;T&D Innovationen GmbH;Biyokimya;Immunochromatographic drug test strips;10 упак/ pack;;;Pack;10 tests;T&D Innovationen GmbH;;;
85;İmmünokromatografik test şeritleri (sentetik kannabinoidler);Immunochromatographic test strips (Synthetic cannabinoids);Артикул: 100299;T&D Innovationen GmbH;Biyokimya;Immunochromatographic drug test strips;10 упак/ pack;;;Pack;10 tests;T&D Innovationen GmbH;;;
86;İmmünokromatografik test şeritleri (etanol / ETG);Immunochromatographic test strips (Ethanol / ETG);;T&D Innovationen GmbH;Biyokimya;Immunochromatographic drug test strips;10 упак/ pack;;;Pack;10 tests;T&D Innovationen GmbH;;;
87;R1-IK-200609-19 raporu için termal kağıt rulosu (57 mm × 10 m, iç çap 12 mm);Roll thermal paper for R1-IK-200609-19 report (57 mm х 10m, вт.12мм.);;T&D Innovationen GmbH;Genel Sarf;Thermal paper roll;20 упак/ pack;"Thermal paper roll 57 mm × 10 m; core 12 mm; for R1-IK-200609-19 analyzer printer; 20 rolls/pack";;Roll;20 rolls;T&D Innovationen GmbH;https://www.rulomerkezi.com/56x12-metre-yazar-kasa-pos-rolosu-10lu-paket-kagit-3060-fiyati-30-60;;
88;İmmünokromatografik test şeritleri (COC, mAMP, BZO);Immunochromatographic test strips (COC, mAMP, BZO);;T&D Innovationen GmbH;Biyokimya;Immunochromatographic drug test strips;100 упак/ pack;;;Pack;100 tests;T&D Innovationen GmbH;;;
89;İmmünokromatografik test şeritleri (BAR, MDMA, MTD);Immunochromatographic test strips (BAR, MDMA, MTD);;T&D Innovationen GmbH;Biyokimya;Immunochromatographic drug test strips;20 упак/ pack;;;Pack;20 tests;T&D Innovationen GmbH;;;
90;Optik filtre D-K-18752-01-00;Optical Filter D-K-18752-01-00;D-K-18752-01-00;Hellma Analytics;Genel Sarf;Optical filter;1 упак. / pack;"Certified neutral density optical filter; 0.5 Abs; for Hellma cuvette systems and spectrophotometer calibration";;Pack;1;Hellma Analytics;https://shop.hellmausa.com/products/666-f3-0-5-abs;;
91;Parafin Plus 1Kg;Paraffin Plus;X881;Leica Biosystems;Biyokimya;;50 упак. / pack;;"Paraffin in droplets
Density (D) 0,8 g/cm³
Melting point (mp) 56 °C

Paraffin in pellets
Tissue embedding medium composed of highly purified paraffin containing complex elastomers with regulated molecular weights and an addition of DMSO for large and difficult-to-infiltrate tissue samples.

Melting point: 56 °C

Paraplast® is recommended for general tissue embedding. It is composed of a refined mixture of highly purified paraffin containing plastic polymers of regulated molecular weights. This provides improved tissue infiltration and superior quality sections with minimal compression.";Pack;1 kg;Carl Roth, Germany;https://www.carlroth.com/com/en/paraplast-paraffins/paraplast-plus/p/x881.1;;
92;Formalin ≥37% (non-acidic, for histology);Formalin ≥37% (non-acidic, for histology;P733;Carl Roth, Germany;Biyokimya;;200 упак. / pack;;"Empirical formula CH2O
Molar mass (M) 30,03 g/mol
Density (D) 1,09 g/cm³
Boiling point (bp) 96 °C
Flash point (flp) 62 °C
Melting point (mp) <-15 °C
Storage temp. +15 to +25 °C
ADR 8 III
WGK 3
CAS No. 50-00-0
EG-Nr. 200-001-8
UN-Nr. 2209

If required, filter out solids before use.
Fixative

Stabilised with calcium carbonate (acid-binding solids) and methanol (8-12 %). Do not store solution below 15 °C.";Bottle;30 liter;Carl Roth, Germany;https://www.carlroth.com/com/en/fixation/formaldehyde-solution/p/p733.3;;
93;ABBOTT IMMTOX 270 Kimya Analizörü (510K onaylı), tüm gerekli reaktifler, kitler, kalibratörler ve kontroller dahil komple sistem;ABBOTT IMMTOX 270 Chemistry Analyser (510K cleared) to be provided as a complete system, including all original Abbott brand reagents, kit sets, calibrators, and controls required to perform the following tests: 6-AM (347UR), AMP (309UR), BAR (310UR), BZO (314UR), COC (306UR), BUP (336UR), THC (305UR), EDDP (349UR), ETH (504), EtG (341UR), FEN (618UR), KET (340UR), MEP (303), MAMP (311UR), OPI (307UR), SYN-JWH (344), SYN-UR144 (346), SYN-ABP (350), TRA (304UR), Specimen Validity Tests (SUP-5 );6-AM (347UR), AMP (309UR), BAR (310UR), BZO (314UR), COC (306UR), BUP (336UR), THC (305UR), EDDP (349UR), ETH (504), EtG (341UR), FEN (618UR), KET (340UR), MEP (303), MAMP (311UR), OPI (307UR), SYN-JWH (344), SYN-UR144 (346), SYN-ABP (350), TRA (304UR), Specimen Validity Tests (SUP-5 );Abbott;Biyokimya;Clinical chemistry analyzer system;1 набор/ set;"Abbott IMMTOX 270 Chemistry Analyzer with reagents for 20 drug/metabolite panels including ETH, EtG, OPI, COC, THC, BZO, AMP, BAR etc.; 510K cleared";"ImmTox™ 270, doktor muayenehaneleri, tedavi merkezleri, bağımlılık klinikleri, bağımsız ve hastane laboratuvarları için basitleştirilmiş test siparişi, hasta yönetimi, sonuç raporlama ve kalite kontrol kayıtları sağlamak amacıyla bir laboratuvar bilgi sistemiyle çift yönlü iletişim için arayüz oluşturmaya açıktır.
Ayda 150-1200 hasta örneği için ideal boyutta.
Saatte 270'e kadar test yapabilme ve 3 saat boyunca otomatik olarak çalışmaya devam edebilme özelliği.
Reaktif Kapasitesi: 24 adede kadar farklı test için dahili depolama alanı, genişletilmiş bir toksikoloji taramasına olanak tanır.
Numune Kapasitesi: Yeterli toplu işlem kapasitesi sağlayacak şekilde, aynı anda 30 hasta numunesini taşıyabilir .
Destek: Kurulum ve devreye alma süreçlerinden CLIA sertifikasyonuna kadar, sorunsuz CLIA dosyalama, laboratuvar uyumluluk kılavuzlarının uygulanması, doğrulama protokolü ve devreye alma sonrasında destek sağlamak üzere Uygulama ve Teknik Danışman desteği sunuyoruz.";Kit;1 set;Abbott;https://www.toxicology.abbott/us/en/products/immtox--270-benchtop-analyzer.html;Consult Abbott service for installation and maintenance;
94;1 adet SoToxa Mobil Test Sistemi, 250 adet test kiti, 25 adet Quantisal oral sıvı toplama cihazı;1pcs -SoToxa Mobile Test System , 250pcs -Test Kits, 25pcs -Quantisal Oral Fluid Collection Device (QSI-NINT);;Abbott;;;1 набор/ set;;"SAĞLAM TASARIM
SoToxa™ Ağız Sıvısı Mobil Test Sistemi, kolluk kuvvetlerinin yüksek performans taleplerini karşılamak üzere geliştirilmiştir.

GÜVENİLİR SONUÇLAR
SoToxa™ Ağız Sıvısı Mobil Test Sistemi, hızlı ilaç taraması ve doğru sonuç yorumlamasını bir araya getirir. Sistem analiz çıktılarının yerinde verilmesiyle, sistem öznelliği ve test sonuçlarının yanlış yorumlanmasını ortadan kaldırarak daha yüksek güvenilirlik sağlar.

KULLANIMI KOLAY
Sezgisel bir test süreciyle SoToxa™ Ağız Sıvısı Mobil Test Sistemi, her ortamda inanılmaz derecede kolay kullanım sunar. Sistem hafif, taşınabilir ve kompakttır; tam renkli ekranı sayesinde gece gündüz okunabilir.

BASİT TOPLAMA SÜRECİ
Hızlı ağız içi sıvı örnekleri, saha çalışması sırasında kolayca alınabilir ve idrar veya kan örneklemesine göre daha az invazivdir. Gözlem altında gerçekleştirilen toplama işlemi, tağşiş ve manipülasyon endişelerini sınırlandırır.

SONUÇLARI YÖNETİN
Analiz cihazı, testin sonunda yazdırılabilen veya hafıza kartından yeniden yazdırılabilen 10.000'den fazla sonucu saklayabilir.

İlaç Sınıfı

Kesme değeri (ng/mL)

Amfetamin

50

Benzodiazepinler

20

Esrar (THC)

25

Kokain

30

Fentanil

4

Metamfetamin

50

Afyon türevleri

40
";;;;https://www.toxicology.abbott/us/en/products/sotoxa-mobile-test-system.html;;
95;BIOSENS 900 iz tespit analizörü (tüm sarf malzemeleri dahil);BIOSENS 900 Treace Detecting Analyzer (with all consumables);;Biosensor;Biyokimya;Oral fluid drug testing system;1 набор/ set;;"Description: Equipment for trace detection of narcotics and explosives.
Model: BIOSENS®900
Detection technology: Immunoassay reaction on S.A.W-sensor
Start-up time: 10 minutes from cold start at room temperature
Analysis time: 30–60 seconds
Result presentation: Real time graphs, including presentation of detected substances
Printer: Built in thermal printer
Dimensions: 280 x 306 x 289 mm
Weight: 11,5 kg
Portability: Built in handgrip
Display: 10.1” Color TFT with touch screen
Alarm: Audible & visual
Languages: Localized to any language
Data transmission: Ethernet, export of results and service reports. 1 USB port
Detection modes: Trace
Comments to runs: Free text via on screen keyboard or external keyboard and barcode
Data storage: M2 SSD, 120 GB
Consumable status: Time & run indicator
Consumable replacement: Barcode identified
Operating: 10 to 40 °C Storage: ±0 to 60 °C
Humidity: 95%, non-condensing
SUBSTANCES DETECTED*
Substance groups: Amphetamines, Meth-amphetamine, MDA, MDMA, Ephedrine, Cocaine,
Ecstasy, Opiates, THC, Buprenorphine, PCP, Fentanyl, Ketamine, TNT, DNT,
Tetryl, RDX, PETN and NG.
*Can be combined for up to 12 substance groups
CONSUMABLES
Sensor Cartridge: 30–60 days operational time depending on configuration
Activator cartridge: 50 runs (in standard configuration)
Collection pad: Re-usable
Cleaning: Cleaning cartridge, heater cleaner, alcohol wipes
Maintenance: Annual maintenance kit
POWER REQUIREMENTS
Power supply: Input: 100–240 V 50–60 Hz Output 24 V DC 7.5 A
Battery: 33 Wh, up to 40 minutes operational, 2 h standby mode
Power consumption: Average 40 W";Kit;1 set;Abbott;;;
TOPLAM KAYIT;;;;;;;;;;;;;;;
